cbo,wmc,dit,rfc,lcom,totalMethodsQty,totalFieldsQty,returnQty,loopQty,stringLiteralsQty,loc,comparisonsQty,parenthesizedExpsQty,assignmentsQty,variablesQty,maxNestedBlocksQty,lambdasQty,uniqueWordsQty,CLASS
10,3,3,11,3,3,0,1,0,4,20,0,0,7,7,0,0,22,No smell
11,3,3,12,1,2,0,2,1,2,20,0,2,6,9,2,2,21,No smell
12,5,3,13,6,4,0,3,1,1,23,0,5,8,8,1,0,32,No smell
11,4,3,11,6,4,0,1,0,3,73,0,0,11,11,1,1,49,No smell
11,6,3,7,15,6,0,1,0,5,58,0,0,15,15,1,1,49,No smell
12,11,3,12,10,5,0,1,6,4,86,0,0,25,25,3,1,51,No smell
13,14,3,13,55,11,0,1,3,10,100,0,0,21,21,3,8,61,No smell
13,2,3,6,1,2,0,1,0,1,14,0,0,5,5,0,0,26,No smell
18,11,3,29,21,7,0,1,4,4,81,0,0,16,16,1,0,60,No smell
11,6,3,9,13,6,1,1,0,3,41,0,0,9,8,1,3,35,No smell
30,8,2,35,3,3,0,1,3,5,47,2,0,18,16,2,0,53,No smell
21,1,2,21,0,1,0,0,0,25,15,0,0,8,8,0,0,30,No smell
12,2,2,12,1,2,6,0,0,3,24,0,0,9,9,0,0,39,No smell
13,3,2,13,3,3,4,1,0,4,30,0,0,10,10,0,0,40,No smell
11,2,2,11,1,2,2,0,0,3,23,0,0,9,9,0,0,44,No smell
16,3,2,25,1,2,14,0,0,7,51,1,0,19,19,1,0,56,No smell
13,2,2,12,1,2,7,0,0,3,25,0,0,10,10,0,0,42,No smell
17,6,2,38,1,2,19,0,0,8,92,2,0,27,27,1,0,65,No smell
13,3,2,13,1,3,4,0,0,3,48,0,0,13,13,0,0,47,No smell
13,3,2,13,1,3,4,0,0,3,50,0,0,13,13,0,0,47,No smell
17,4,2,37,1,2,18,0,0,8,79,2,0,25,25,1,0,62,No smell
12,2,2,12,1,2,6,0,0,3,24,0,0,9,9,0,0,38,No smell
19,5,2,45,1,2,18,0,0,12,94,1,0,30,30,1,0,72,No smell
13,3,2,13,1,3,4,0,0,3,48,0,0,13,13,0,0,48,No smell
16,4,2,38,1,2,16,0,0,8,84,2,0,25,25,1,0,61,No smell
17,7,2,34,1,2,19,0,0,8,98,3,0,27,27,1,0,65,No smell
12,2,2,12,1,2,2,0,0,3,24,0,0,9,9,0,0,32,No smell
12,2,2,12,1,2,4,0,0,3,25,0,0,9,9,0,0,44,No smell
17,6,2,41,1,2,20,0,0,8,97,2,0,28,28,1,0,67,No smell
17,6,2,38,1,2,19,0,0,8,92,2,0,27,27,1,0,65,No smell
13,2,2,13,1,2,6,0,0,3,30,0,0,10,10,0,0,39,No smell
13,2,2,13,1,2,6,0,0,3,28,0,0,10,10,0,0,39,No smell
16,5,2,34,1,2,17,0,0,8,68,3,0,22,22,1,0,56,No smell
13,3,2,13,1,3,4,0,0,3,50,0,0,13,13,0,0,48,No smell
13,3,2,28,1,2,15,0,0,16,64,1,1,25,25,1,0,62,No smell
17,4,2,41,1,2,19,0,0,8,82,2,0,27,27,1,0,63,No smell
16,5,2,37,1,2,18,0,0,8,88,3,0,26,26,1,0,64,No smell
13,2,2,12,1,2,7,0,0,3,25,0,0,10,10,0,0,40,No smell
13,2,2,12,1,2,7,0,0,3,25,0,0,10,10,0,0,40,No smell
13,2,2,12,1,2,6,0,0,3,24,0,0,9,9,0,0,41,No smell
12,2,2,12,1,2,2,0,0,5,25,0,0,10,10,0,0,45,No smell
12,2,2,12,1,2,2,0,0,5,25,0,0,10,10,0,0,45,No smell
16,3,2,16,1,2,4,0,0,7,35,1,0,12,12,1,0,46,No smell
14,2,2,20,1,2,10,0,0,4,42,0,0,15,15,0,0,54,No smell
14,2,2,20,1,2,10,0,0,4,40,0,0,15,15,0,0,54,No smell
14,4,2,18,1,2,10,0,0,4,56,2,0,15,15,1,0,53,No smell
11,9,1,21,15,6,1,0,0,27,41,0,0,5,5,2,0,48,No smell
6,14,2,9,78,13,0,0,1,13,107,0,1,43,43,1,7,52,No smell
3,1,1,4,0,1,0,0,0,0,8,0,0,4,4,0,0,12,No smell
15,5,1,26,0,5,3,1,0,0,47,0,0,1,4,1,1,32,No smell
10,3,3,11,3,3,0,1,0,4,20,0,0,7,7,0,0,22,No smell
11,3,3,12,1,2,0,2,1,2,20,0,2,6,9,2,2,21,No smell
12,5,3,13,6,4,0,3,1,1,23,0,5,8,8,1,0,32,No smell
11,4,3,11,6,4,0,1,0,3,73,0,0,11,11,1,1,49,No smell
11,6,3,7,15,6,0,1,0,5,58,0,0,15,15,1,1,49,No smell
12,11,3,12,10,5,0,1,6,4,86,0,0,25,25,3,1,51,No smell
13,14,3,13,55,11,0,1,3,10,100,0,0,21,21,3,8,61,No smell
13,2,3,6,1,2,0,1,0,1,14,0,0,5,5,0,0,26,No smell
18,11,3,29,21,7,0,1,4,4,81,0,0,16,16,1,0,60,No smell
11,6,3,9,13,6,1,1,0,3,41,0,0,9,8,1,3,35,No smell
30,8,2,35,3,3,0,1,3,5,47,2,0,18,16,2,0,53,No smell
21,1,2,21,0,1,0,0,0,25,15,0,0,8,8,0,0,30,No smell
12,2,2,12,1,2,6,0,0,3,24,0,0,9,9,0,0,39,No smell
13,3,2,13,3,3,4,1,0,4,30,0,0,10,10,0,0,40,No smell
11,2,2,11,1,2,2,0,0,3,23,0,0,9,9,0,0,44,No smell
16,3,2,25,1,2,14,0,0,7,51,1,0,19,19,1,0,56,No smell
13,2,2,12,1,2,7,0,0,3,25,0,0,10,10,0,0,42,No smell
17,6,2,38,1,2,19,0,0,8,92,2,0,27,27,1,0,65,No smell
13,3,2,13,1,3,4,0,0,3,48,0,0,13,13,0,0,47,No smell
13,3,2,13,1,3,4,0,0,3,50,0,0,13,13,0,0,47,No smell
17,4,2,37,1,2,18,0,0,8,79,2,0,25,25,1,0,62,No smell
12,2,2,12,1,2,6,0,0,3,24,0,0,9,9,0,0,38,No smell
19,5,2,45,1,2,18,0,0,12,94,1,0,30,30,1,0,72,No smell
13,3,2,13,1,3,4,0,0,3,48,0,0,13,13,0,0,48,No smell
16,4,2,38,1,2,16,0,0,8,84,2,0,25,25,1,0,61,No smell
17,7,2,34,1,2,19,0,0,8,98,3,0,27,27,1,0,65,No smell
12,2,2,12,1,2,2,0,0,3,24,0,0,9,9,0,0,32,No smell
12,2,2,12,1,2,4,0,0,3,25,0,0,9,9,0,0,44,No smell
17,6,2,41,1,2,20,0,0,8,97,2,0,28,28,1,0,67,No smell
17,6,2,38,1,2,19,0,0,8,92,2,0,27,27,1,0,65,No smell
13,2,2,13,1,2,6,0,0,3,30,0,0,10,10,0,0,39,No smell
13,2,2,13,1,2,6,0,0,3,28,0,0,10,10,0,0,39,No smell
16,5,2,34,1,2,17,0,0,8,68,3,0,22,22,1,0,56,No smell
13,3,2,13,1,3,4,0,0,3,50,0,0,13,13,0,0,48,No smell
13,3,2,28,1,2,15,0,0,16,64,1,1,25,25,1,0,62,No smell
17,4,2,41,1,2,19,0,0,8,82,2,0,27,27,1,0,63,No smell
16,5,2,37,1,2,18,0,0,8,88,3,0,26,26,1,0,64,No smell
13,2,2,12,1,2,7,0,0,3,25,0,0,10,10,0,0,40,No smell
13,2,2,12,1,2,7,0,0,3,25,0,0,10,10,0,0,40,No smell
13,2,2,12,1,2,6,0,0,3,24,0,0,9,9,0,0,41,No smell
12,2,2,12,1,2,2,0,0,5,25,0,0,10,10,0,0,45,No smell
12,2,2,12,1,2,2,0,0,5,25,0,0,10,10,0,0,45,No smell
16,3,2,16,1,2,4,0,0,7,35,1,0,12,12,1,0,46,No smell
14,2,2,20,1,2,10,0,0,4,42,0,0,15,15,0,0,54,No smell
14,2,2,20,1,2,10,0,0,4,40,0,0,15,15,0,0,54,No smell
14,4,2,18,1,2,10,0,0,4,56,2,0,15,15,1,0,53,No smell
11,9,1,21,15,6,1,0,0,27,41,0,0,5,5,2,0,48,No smell
6,14,2,9,78,13,0,0,1,13,107,0,1,43,43,1,7,52,No smell
3,1,1,4,0,1,0,0,0,0,8,0,0,4,4,0,0,12,No smell
15,5,1,26,0,5,3,1,0,0,47,0,0,1,4,1,1,32,No smell
10,2,3,4,1,2,0,1,0,3,11,0,0,2,2,0,0,21,AR
12,3,3,17,3,3,0,1,0,4,24,0,0,10,10,0,0,32,AR
16,11,3,26,55,11,0,1,0,12,88,0,0,43,43,0,0,48,AR
3,2,1,4,1,2,0,0,0,4,10,0,0,0,0,0,0,12,AR
4,2,1,3,1,2,0,0,0,0,8,0,0,0,0,0,0,10,AR
6,2,2,5,1,2,0,0,0,3,26,0,0,14,14,0,0,23,AR
13,3,2,7,3,3,0,0,0,0,15,0,0,3,3,0,0,27,AR
9,2,2,7,1,2,0,0,0,2,16,0,0,6,6,0,0,20,AR
17,16,3,36,0,11,6,2,1,6,96,0,1,33,32,2,0,80,AR
10,2,3,5,1,2,0,1,0,1,12,0,0,3,3,0,0,28,AR
17,16,3,37,0,11,6,2,1,6,96,0,3,33,32,2,0,84,AR
7,8,3,9,28,8,0,1,0,7,78,0,0,21,21,0,0,26,AR
9,7,3,10,21,7,0,1,0,6,57,0,0,18,18,0,0,25,AR
12,4,3,13,6,4,0,1,0,3,27,0,0,11,11,0,0,31,AR
7,2,3,12,1,2,0,1,0,7,15,0,0,1,1,0,0,14,AR
11,7,3,7,21,7,0,1,0,6,35,0,0,12,12,0,0,31,AR
9,5,3,15,1,2,0,1,0,13,32,0,0,4,4,1,0,28,AR
6,2,2,5,1,2,0,1,0,2,15,0,0,4,4,0,0,28,AR
9,1,2,5,0,1,0,0,0,2,8,0,0,3,3,0,0,20,AR
11,4,2,8,1,2,0,1,2,2,19,0,0,6,6,1,0,25,AR
13,1,2,17,0,1,0,0,0,0,11,0,0,5,5,0,0,21,AR
17,2,2,19,0,2,1,1,0,2,21,0,0,11,11,0,0,34,AR
31,11,2,55,37,11,10,5,0,9,119,0,2,58,56,1,2,89,AR
24,7,2,31,4,5,11,3,0,3,42,2,0,23,22,0,0,57,AR
17,5,2,21,8,5,9,3,0,3,38,0,0,18,18,0,0,44,AR
22,5,2,30,2,5,7,3,0,4,55,0,0,29,27,0,0,55,AR
22,5,2,29,2,5,9,3,0,4,56,0,0,30,28,0,0,55,AR
10,2,2,4,1,2,0,0,0,3,14,0,0,6,6,0,0,21,AR
10,2,2,3,1,2,0,0,0,3,14,0,0,6,6,0,0,19,AR
23,3,2,37,3,3,0,0,0,17,30,0,0,16,16,0,0,44,AR
15,9,2,15,0,9,4,0,0,9,71,0,4,31,31,0,0,37,AR
6,1,2,2,0,1,0,0,0,2,7,0,0,2,2,0,0,15,AR
4,3,1,7,0,3,1,0,0,10,25,0,0,9,9,0,0,41,AR
17,5,2,20,8,5,4,1,0,5,44,0,0,16,16,0,0,62,AR
15,10,2,15,28,8,0,3,0,15,53,0,0,13,11,1,0,58,AR
9,2,1,12,1,2,0,0,0,0,17,0,0,8,8,0,0,28,AR
8,2,1,12,1,2,0,0,0,0,20,0,0,8,8,0,0,27,AR
9,2,2,3,1,2,0,0,0,2,10,0,0,3,3,0,0,20,AR
14,9,3,22,6,4,1,4,2,1,35,2,0,16,16,3,0,43,AR
8,3,1,9,0,1,0,0,0,10,28,0,0,14,13,2,0,26,AR
7,2,2,18,1,2,0,0,0,0,30,0,0,9,8,0,0,32,AR
8,2,2,4,1,2,0,0,0,13,17,0,0,4,4,0,0,30,AR
26,13,2,17,78,13,0,0,0,55,203,0,0,49,39,0,0,56,AR
7,1,2,4,0,1,0,0,0,3,8,0,0,2,2,0,0,17,AR
8,5,1,8,10,5,0,0,0,0,35,0,0,10,10,0,0,32,AR
13,4,1,25,0,4,1,0,0,0,46,0,0,14,14,0,0,49,AR
13,4,1,25,0,4,1,0,0,0,45,0,0,12,12,0,0,48,AR
12,4,1,13,0,4,3,0,0,0,33,0,0,5,7,0,0,34,AR
27,9,1,53,0,6,11,0,2,0,83,1,0,15,20,1,0,67,AR
9,15,1,18,36,9,0,4,6,0,79,0,0,27,27,3,0,40,AR
7,1,1,5,0,1,0,0,0,0,16,0,0,3,3,0,0,20,AR
18,7,1,27,21,7,0,3,0,0,52,0,0,21,21,0,0,53,AR
14,13,1,19,55,11,0,0,0,78,155,0,0,97,97,1,0,70,AR
10,2,3,4,1,2,0,1,0,3,11,0,0,2,2,0,0,21,AR
12,3,3,17,3,3,0,1,0,4,24,0,0,10,10,0,0,32,AR
16,11,3,26,55,11,0,1,0,12,88,0,0,43,43,0,0,48,AR
3,2,1,4,1,2,0,0,0,4,10,0,0,0,0,0,0,12,AR
4,2,1,3,1,2,0,0,0,0,8,0,0,0,0,0,0,10,AR
6,2,2,5,1,2,0,0,0,3,26,0,0,14,14,0,0,23,AR
13,3,2,7,3,3,0,0,0,0,15,0,0,3,3,0,0,27,AR
9,2,2,7,1,2,0,0,0,2,16,0,0,6,6,0,0,20,AR
17,16,3,36,0,11,6,2,1,6,96,0,1,33,32,2,0,80,AR
10,2,3,5,1,2,0,1,0,1,12,0,0,3,3,0,0,28,AR
17,16,3,37,0,11,6,2,1,6,96,0,3,33,32,2,0,84,AR
7,8,3,9,28,8,0,1,0,7,78,0,0,21,21,0,0,26,AR
9,7,3,10,21,7,0,1,0,6,57,0,0,18,18,0,0,25,AR
12,4,3,13,6,4,0,1,0,3,27,0,0,11,11,0,0,31,AR
7,2,3,12,1,2,0,1,0,7,15,0,0,1,1,0,0,14,AR
11,7,3,7,21,7,0,1,0,6,35,0,0,12,12,0,0,31,AR
9,5,3,15,1,2,0,1,0,13,32,0,0,4,4,1,0,28,AR
6,2,2,5,1,2,0,1,0,2,15,0,0,4,4,0,0,28,AR
9,1,2,5,0,1,0,0,0,2,8,0,0,3,3,0,0,20,AR
11,4,2,8,1,2,0,1,2,2,19,0,0,6,6,1,0,25,AR
13,1,2,17,0,1,0,0,0,0,11,0,0,5,5,0,0,21,AR
17,2,2,19,0,2,1,1,0,2,21,0,0,11,11,0,0,34,AR
31,11,2,55,37,11,10,5,0,9,119,0,2,58,56,1,2,89,AR
24,7,2,31,4,5,11,3,0,3,42,2,0,23,22,0,0,57,AR
17,5,2,21,8,5,9,3,0,3,38,0,0,18,18,0,0,44,AR
22,5,2,30,2,5,7,3,0,4,55,0,0,29,27,0,0,55,AR
22,5,2,29,2,5,9,3,0,4,56,0,0,30,28,0,0,55,AR
10,2,2,4,1,2,0,0,0,3,14,0,0,6,6,0,0,21,AR
10,2,2,3,1,2,0,0,0,3,14,0,0,6,6,0,0,19,AR
23,3,2,37,3,3,0,0,0,17,30,0,0,16,16,0,0,44,AR
15,9,2,15,0,9,4,0,0,9,71,0,4,31,31,0,0,37,AR
6,1,2,2,0,1,0,0,0,2,7,0,0,2,2,0,0,15,AR
4,3,1,7,0,3,1,0,0,10,25,0,0,9,9,0,0,41,AR
17,5,2,20,8,5,4,1,0,5,44,0,0,16,16,0,0,62,AR
15,10,2,15,28,8,0,3,0,15,53,0,0,13,11,1,0,58,AR
9,2,1,12,1,2,0,0,0,0,17,0,0,8,8,0,0,28,AR
8,2,1,12,1,2,0,0,0,0,20,0,0,8,8,0,0,27,AR
9,2,2,3,1,2,0,0,0,2,10,0,0,3,3,0,0,20,AR
14,9,3,22,6,4,1,4,2,1,35,2,0,16,16,3,0,43,AR
8,3,1,9,0,1,0,0,0,10,28,0,0,14,13,2,0,26,AR
7,2,2,18,1,2,0,0,0,0,30,0,0,9,8,0,0,32,AR
8,2,2,4,1,2,0,0,0,13,17,0,0,4,4,0,0,30,AR
26,13,2,17,78,13,0,0,0,55,203,0,0,49,39,0,0,56,AR
7,1,2,4,0,1,0,0,0,3,8,0,0,2,2,0,0,17,AR
8,5,1,8,10,5,0,0,0,0,35,0,0,10,10,0,0,32,AR
13,4,1,25,0,4,1,0,0,0,46,0,0,14,14,0,0,49,AR
13,4,1,25,0,4,1,0,0,0,45,0,0,12,12,0,0,48,AR
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
8,8,1,13,21,7,0,2,1,14,49,0,0,6,6,1,0,31,ET
7,7,1,12,15,6,0,1,1,14,42,0,0,6,6,1,0,30,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
6,2,1,4,0,2,1,0,0,5,12,0,0,0,1,1,2,24,ET
13,2,1,15,0,2,3,0,0,0,23,0,0,6,9,0,0,39,ET
12,2,1,13,0,2,3,0,0,0,20,0,0,5,8,0,0,34,ET
10,2,1,10,0,2,2,0,0,0,22,0,0,6,8,0,0,29,ET
13,4,1,21,0,4,4,0,0,0,33,0,0,1,4,0,0,27,ET
16,2,1,22,0,2,11,0,0,0,34,0,0,2,12,0,0,39,ET
8,8,1,13,21,7,0,2,1,14,49,0,0,6,6,1,0,31,ET
7,7,1,12,15,6,0,1,1,14,42,0,0,6,6,1,0,30,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
10,1,1,11,0,1,2,0,0,8,14,0,0,5,6,0,0,19,ET
6,2,1,4,0,2,1,0,0,5,12,0,0,0,1,1,2,24,ET
26,5,1,74,0,5,6,0,0,46,140,0,0,48,42,0,0,99,ET
14,3,1,19,1,3,4,0,0,4,33,0,0,13,11,0,0,46,ET
16,3,1,23,1,3,5,0,0,10,37,0,0,13,11,0,0,52,ET
14,3,1,13,1,3,4,0,0,6,29,0,0,11,9,0,0,41,ET
